Year,Month_name,State,ELECTRIC(BOV),Total,Perc
2014,jun,Chandigarh,0.0,1166.0,0.0
2014,jul,Chandigarh,0.0,1931.0,0.0
2014,aug,Chandigarh,0.0,1280.0,0.0
2014,sep,Chandigarh,0.0,1425.0,0.0
2014,oct,Chandigarh,0.0,1274.0,0.0
2014,nov,Chandigarh,0.0,1260.0,0.0
2014,dec,Chandigarh,0.0,1615.0,0.0
2014,jan,DNH and DD,0.0,311.0,0.0
2014,feb,DNH and DD,0.0,300.0,0.0
2014,mar,DNH and DD,0.0,272.0,0.0
2014,apr,DNH and DD,0.0,238.0,0.0
2014,may,DNH and DD,0.0,270.0,0.0
2014,jun,DNH and DD,0.0,257.0,0.0
2014,jul,DNH and DD,0.0,257.0,0.0
2014,aug,DNH and DD,0.0,241.0,0.0
2014,sep,DNH and DD,0.0,262.0,0.0
2014,oct,DNH and DD,0.0,353.0,0.0
2014,nov,DNH and DD,0.0,362.0,0.0
2014,dec,DNH and DD,0.0,285.0,0.0
2014,jan,Delhi,5.0,15969.0,0.03
2014,feb,Delhi,0.0,11311.0,0.0
2014,mar,Delhi,0.0,11174.0,0.0
2014,apr,Delhi,3.0,14384.0,0.02
2014,may,Delhi,3.0,14515.0,0.02
2014,jun,Delhi,3.0,13193.0,0.02
2014,jul,Delhi,1.0,13681.0,0.01
2014,aug,Delhi,3.0,11435.0,0.03
2014,sep,Delhi,1.0,10540.0,0.01
2014,oct,Delhi,2.0,13565.0,0.01
2014,nov,Delhi,1.0,11191.0,0.01
2014,dec,Delhi,2.0,12691.0,0.02
2014,jan,Goa,1.0,1536.0,0.07
2014,feb,Goa,0.0,1017.0,0.0
2014,mar,Goa,0.0,1530.0,0.0
2014,apr,Goa,0.0,1187.0,0.0
2014,may,Goa,0.0,1203.0,0.0
2014,jun,Goa,0.0,1107.0,0.0
2014,jul,Goa,0.0,1198.0,0.0
2014,aug,Goa,0.0,1944.0,0.0
2014,sep,Goa,0.0,1344.0,0.0
2014,oct,Goa,0.0,1719.0,0.0
2014,nov,Goa,0.0,1276.0,0.0
2014,dec,Goa,0.0,1519.0,0.0
2014,jan,Gujarat,0.0,17580.0,0.0
2014,feb,Gujarat,0.0,13776.0,0.0
2014,mar,Gujarat,2.0,14841.0,0.01
2014,apr,Gujarat,0.0,16214.0,0.0
2014,may,Gujarat,0.0,17376.0,0.0
2014,jun,Gujarat,0.0,14343.0,0.0
2014,jul,Gujarat,0.0,17365.0,0.0
2014,aug,Gujarat,0.0,13874.0,0.0
2014,sep,Gujarat,0.0,14315.0,0.0
2014,oct,Gujarat,0.0,23132.0,0.0
2014,nov,Gujarat,0.0,20136.0,0.0
2014,dec,Gujarat,0.0,16040.0,0.0
2014,jan,Himachal Pradesh,1.0,3265.0,0.03
2014,feb,Himachal Pradesh,0.0,2194.0,0.0
2014,mar,Himachal Pradesh,0.0,2272.0,0.0
2014,apr,Himachal Pradesh,0.0,3000.0,0.0
2014,may,Himachal Pradesh,0.0,2516.0,0.0
2014,jun,Himachal Pradesh,0.0,2341.0,0.0
2014,jul,Himachal Pradesh,0.0,2521.0,0.0
2014,aug,Himachal Pradesh,0.0,1896.0,0.0
2014,sep,Himachal Pradesh,0.0,1822.0,0.0
2014,oct,Himachal Pradesh,0.0,2877.0,0.0
2014,nov,Himachal Pradesh,0.0,3573.0,0.0
2014,dec,Himachal Pradesh,0.0,2701.0,0.0
2014,jan,Haryana,1.0,14065.0,0.01
2014,feb,Haryana,0.0,11208.0,0.0
2014,mar,Haryana,1.0,14789.0,0.01
2014,apr,Haryana,0.0,14194.0,0.0
2014,may,Haryana,0.0,13333.0,0.0
2024,oct,Jharkhand,28.0,8008.0,0.35
2014,jun,Haryana,0.0,12098.0,0.0
2014,jul,Haryana,0.0,12588.0,0.0
2014,aug,Haryana,0.0,11386.0,0.0
2024,sep,Chhattisgarh,25.0,3298.0,0.76
2014,sep,Haryana,1.0,10746.0,0.01
2024,sep,Andaman & Nicobar Island,1.0,134.0,0.75
2014,oct,Haryana,0.0,9747.0,0.0
2014,nov,Haryana,0.0,13572.0,0.0
2014,dec,Haryana,0.0,11978.0,0.0
2014,jan,Jharkhand,0.0,2992.0,0.0
2014,feb,Jharkhand,0.0,2887.0,0.0
2014,mar,Jharkhand,0.0,2996.0,0.0
2014,apr,Jharkhand,1.0,1054.0,0.09
2014,may,Jharkhand,0.0,2771.0,0.0
2014,jun,Jharkhand,0.0,3304.0,0.0
2014,jul,Jharkhand,0.0,3874.0,0.0
2014,aug,Jharkhand,0.0,2898.0,0.0
2014,sep,Jharkhand,0.0,2836.0,0.0
2014,oct,Jharkhand,0.0,2116.0,0.0
2014,nov,Jharkhand,0.0,3709.0,0.0
2014,dec,Jharkhand,0.0,3923.0,0.0
2014,jan,Karnataka,19.0,20200.0,0.09
2014,feb,Karnataka,17.0,12139.0,0.14
2014,mar,Karnataka,22.0,15869.0,0.14
2014,apr,Karnataka,21.0,15876.0,0.13
2014,may,Karnataka,24.0,15462.0,0.16
2014,jun,Karnataka,12.0,15526.0,0.08
2014,jul,Karnataka,10.0,13545.0,0.07
2014,aug,Karnataka,46.0,16190.0,0.28
2014,sep,Karnataka,49.0,16359.0,0.3
2014,oct,Karnataka,43.0,15569.0,0.28
2024,oct,Jammu and Kashmir,27.0,5802.0,0.47
2014,nov,Karnataka,44.0,14324.0,0.31
2014,dec,Karnataka,48.0,10525.0,0.46
2014,jan,Kerala,1.0,20513.0,0.0
2014,feb,Kerala,1.0,12744.0,0.01
2014,mar,Kerala,0.0,25039.0,0.0
2014,apr,Kerala,0.0,7968.0,0.0
2014,may,Kerala,0.0,12723.0,0.0
2014,jun,Kerala,0.0,14540.0,0.0
2014,jul,Kerala,0.0,15242.0,0.0
2014,aug,Kerala,2.0,16676.0,0.01
2014,sep,Kerala,1.0,22674.0,0.0
2014,oct,Kerala,0.0,16091.0,0.0
2014,nov,Kerala,0.0,13166.0,0.0
2014,dec,Kerala,1.0,13588.0,0.01
2014,jan,Ladakh,0.0,46.0,0.0
2014,feb,Ladakh,0.0,26.0,0.0
2014,mar,Ladakh,0.0,21.0,0.0
2014,apr,Ladakh,0.0,21.0,0.0
2014,may,Ladakh,0.0,18.0,0.0
2014,jun,Ladakh,0.0,115.0,0.0
2014,jul,Ladakh,0.0,154.0,0.0
2014,aug,Ladakh,0.0,192.0,0.0
2014,sep,Ladakh,0.0,94.0,0.0
2014,oct,Ladakh,0.0,75.0,0.0
2014,nov,Ladakh,0.0,88.0,0.0
2014,dec,Ladakh,0.0,95.0,0.0
2014,jan,Maharashtra,3.0,33875.0,0.01
2014,feb,Maharashtra,3.0,18066.0,0.02
2014,mar,Maharashtra,3.0,26668.0,0.01
2014,apr,Maharashtra,4.0,25398.0,0.02
2014,may,Maharashtra,3.0,25896.0,0.01
2014,jun,Maharashtra,4.0,21963.0,0.02
2014,jul,Maharashtra,5.0,24327.0,0.02
2014,aug,Maharashtra,5.0,24185.0,0.02
2014,sep,Maharashtra,4.0,26183.0,0.02
2014,oct,Maharashtra,6.0,35256.0,0.02
2014,nov,Maharashtra,2.0,22466.0,0.01
2014,dec,Maharashtra,6.0,23571.0,0.03
2014,jan,Meghalaya,0.0,936.0,0.0
2014,feb,Meghalaya,0.0,565.0,0.0
2014,mar,Meghalaya,0.0,672.0,0.0
2014,apr,Meghalaya,0.0,649.0,0.0
2014,may,Meghalaya,0.0,620.0,0.0
2014,jun,Meghalaya,0.0,625.0,0.0
2014,jul,Meghalaya,0.0,700.0,0.0
2014,aug,Meghalaya,0.0,569.0,0.0
2014,sep,Meghalaya,0.0,649.0,0.0
2014,oct,Meghalaya,1.0,579.0,0.17
2014,nov,Meghalaya,0.0,586.0,0.0
2014,dec,Meghalaya,0.0,528.0,0.0
2014,jan,Madhya Pradesh,0.0,7522.0,0.0
2014,feb,Madhya Pradesh,0.0,6399.0,0.0
2014,mar,Madhya Pradesh,0.0,7014.0,0.0
2014,apr,Madhya Pradesh,0.0,6486.0,0.0
2014,may,Madhya Pradesh,0.0,7647.0,0.0
2014,jun,Madhya Pradesh,0.0,6866.0,0.0
2014,jul,Madhya Pradesh,0.0,6613.0,0.0
2014,aug,Madhya Pradesh,0.0,5575.0,0.0
2014,sep,Madhya Pradesh,0.0,5228.0,0.0
2014,oct,Madhya Pradesh,0.0,5243.0,0.0
2014,nov,Madhya Pradesh,0.0,8131.0,0.0
2014,dec,Madhya Pradesh,0.0,6388.0,0.0
2014,jan,Mizoram,0.0,210.0,0.0
2014,feb,Mizoram,0.0,175.0,0.0
2014,mar,Mizoram,0.0,229.0,0.0
2014,apr,Mizoram,0.0,160.0,0.0
2014,may,Mizoram,0.0,172.0,0.0
2014,jun,Mizoram,0.0,194.0,0.0
2014,jul,Mizoram,0.0,197.0,0.0
2014,aug,Mizoram,0.0,192.0,0.0
2014,sep,Mizoram,0.0,189.0,0.0
