image,name,range,effeciency,battery,price
https://ev-database.org/img/auto/Skoda_Enyaq_Coupe_2025/Skoda_Enyaq_Coupe_2025-01-thumb.jpg,ŠkodaEnyaq,470 km,164 Wh/km,77.0 kWh,"€51,150"
https://ev-database.org/img/auto/Toyota_C-HR-Plus_2026/Toyota_C-HR-Plus_2026-01-thumb.jpg,ToyotaC-HR+,385 km,187 Wh/km,72.0 kWh,"€50,995"
https://ev-database.org/img/auto/Porsche_Taycan_Turbo_GT_2024/Porsche_Taycan_Turbo_GT_2024-01-thumb.jpg,PorscheTaycan,475 km,204 Wh/km,97.0 kWh,"€240,000"
https://ev-database.org/img/auto/Audi_Q4_e-tron_2021/Audi_Q4_e-tron_2021-01-thumb.jpg,AudiQ4,395 km,195 Wh/km,77.0 kWh,"€59,000"
https://ev-database.org/img/auto/Mitsubishi_Eclipse_Cross_2026/Mitsubishi_Eclipse_Cross_2026-01-thumb.jpg,MitsubishiEclipse,480 km,181 Wh/km,87.0 kWh,"€47,990"
https://ev-database.org/img/auto/Kia_EV9_2023/Kia_EV9_2023-01-thumb.jpg,KiaEV9,450 km,213 Wh/km,96.0 kWh,"€64,990"
https://ev-database.org/img/auto/Audi_A6_Sportback_etron_2024/Audi_A6_Sportback_etron_2024-01-thumb.jpg,AudiA6,485 km,156 Wh/km,75.8 kWh,"€62,800"
https://ev-database.org/img/auto/Opel_Grandland_2024/Opel_Grandland_2024-01-thumb.jpg,OpelGrandland,490 km,198 Wh/km,96.9 kWh,"€51,750"
https://ev-database.org/img/auto/Dongfeng_Box/Dongfeng_Box-01-thumb.jpg,DongfengBox,190 km,153 Wh/km,29.0 kWh,"€23,499"
https://ev-database.org/img/auto/Citroen_e-C4_2024/Citroen_e-C4_2024-01-thumb.jpg,Citroënë-C4Citroen,285 km,162 Wh/km,46.3 kWh,"€31,900"
https://ev-database.org/img/auto/Volkswagen_ID7_Tourer_GTX/Volkswagen_ID7_Tourer_GTX-01-thumb.jpg,VolkswagenID.7,500 km,172 Wh/km,86.0 kWh,"€64,065"
https://ev-database.org/img/auto/Smart_3_2024/Smart_3_2024-01-thumb.jpg,Smart#3,355 km,175 Wh/km,62.0 kWh,"€46,490"
https://ev-database.org/img/auto/Kia_EV9_GTLine_2023/Kia_EV9_GTLine_2023-01-thumb.jpg,KiaEV9,425 km,226 Wh/km,96.0 kWh,"€82,380"
https://ev-database.org/img/auto/Hyundai_IONIQ9_2024/Hyundai_IONIQ9_2024-01-thumb.jpg,HyundaiIONIQ,485 km,219 Wh/km,106.0 kWh,"€86,750"
https://ev-database.org/img/auto/Ford_Mustang_Mach-E/Ford_Mustang_Mach-E-01-thumb.jpg,FordMustang,435 km,209 Wh/km,91.0 kWh,"€78,000"
